full_name,a,e,i,om,w,q,ad,H,diameter,ma,E_rad,E_deg
(2023 FL7),2.47,0.5933,2.24,98.51,74.67,1.004,3.93,24.38,,68.91999999999999,1.7828868411503291,102.15189134732509
(2023 FO7),1.451,0.4318,8.04,202.57,245.86,0.824,2.08,23.02,,53.28999999999999,1.3515493125562346,77.43807141328
(2023 FP7),1.786,0.4543,8.21,10.52,148.86,0.975,2.6,27.44,,-170.45,-3.0269030475093683,-173.42876961757372
(2023 FS10),1.234,0.2504,7.15,25.23,228.79,0.925,1.54,26.17,,114.12,2.1949577016681534,125.76181251532046
(2023 FT10),0.9458,0.2203,10.08,2.79,58.89,0.737,1.15,25.98,,-121.78,-2.291048175760245,-131.26739113220847
(2023 FV10),1.044,0.048,24.12,185.95,90.27,0.994,1.09,25.0,,97.76999999999998,1.753608553575847,100.47436903793692
(2023 FW10),0.8748,0.2606,8.54,181.4,226.74,0.647,1.1,25.24,,24.370000000000005,0.5648283091978419,32.36227826654664
(2023 FX10),2.092,0.5742,8.74,180.78,292.5,0.891,3.29,23.67,,-161.32999999999998,-2.9340544734452485,-168.1089381898918
(2023 FY10),1.985,0.6932,3.9,306.43,336.05,0.609,3.36,23.8,,159.63,2.9309852576807085,167.93308508016867
(2023 FZ10),0.9402,0.0672,4.69,12.39,6.0,0.877,1.0,28.57,,-45.879999999999995,-0.851300750737662,-48.77594011358653
(2023 FA11),2.042,0.7885,2.27,195.04,244.35,0.432,3.65,25.99,,-164.33,-2.9884112754785694,-171.22335353422923
(2023 FS11),1.35,0.3518,10.16,18.34,236.73,0.875,1.82,25.68,,147.16000000000003,2.7142359169043413,155.51426264143998
(2023 FT11),1.904,0.4965,10.93,22.32,125.54,0.959,2.85,24.38,,-163.62,-2.9501698013942788,-169.03227846684047
(2023 FW12),1.453,0.3093,1.43,58.8,97.02,1.003,1.9,26.93,,21.72999999999999,0.5376614937528518,30.805734398737883
(2023 FN13),0.9886,0.1354,2.12,201.51,107.23,0.855,1.12,27.21,,-41.370000000000005,-0.8211456155706592,-47.048178137870764
(2023 FO13),1.201,0.2784,32.42,184.68,158.48,0.867,1.54,20.89,,23.599999999999994,0.5597120034064597,32.06913553800209
(2023 FP13),1.729,0.5277,3.66,169.14,82.02,0.817,2.64,25.15,,160.74,2.9209387401580638,167.35746202731684
(2023 FQ13),0.7587,0.5649,29.73,19.23,352.77,0.33,1.19,22.83,,-13.379999999999995,-0.508611630277731,-29.141299826182234
(2023 FR13),1.952,0.5056,2.71,320.56,186.78,0.965,2.94,24.89,,-168.42,-3.0072187167000264,-172.30094053965908
(2023 FS13),1.143,0.1297,5.18,167.03,341.84,0.994,1.29,25.25,,-89.3,-1.6873983183638883,-96.68080199972323
(2023 FU13),1.391,0.6619,11.73,219.25,86.79,0.47,2.31,22.16,,136.02999999999997,2.673066643932455,153.15543705452887
(2023 FV13),2.041,0.7887,10.51,335.83,331.82,0.431,3.65,21.52,,160.67000000000002,2.952483496666477,169.16484344101679
(2023 FW13),0.9994,0.1774,2.75,69.25,355.09,0.822,1.18,26.03,,159.76,2.8408834738856354,162.77063314211074
(2023 FX13),1.291,0.3939,10.15,20.4,256.36,0.783,1.8,25.6,,135.82,2.5802037541361007,147.83478539580926
(2023 FY13),1.725,0.4598,12.08,29.36,206.47,0.932,2.52,24.09,,163.88,2.948485455807394,168.93577257347044
(2023 FR14),1.114,0.442,31.45,160.11,285.37,0.622,1.61,20.79,,-32.610000000000014,-0.9211028965833663,-52.77530847150203
(2023 FS14),2.702,0.6406,11.89,113.44,153.61,0.971,4.43,21.4,,16.50999999999999,0.7016452583997855,40.2013120216738
(2023 FW48),1.284,0.2625,18.91,357.31,138.61,0.947,1.62,28.53,,-156.14,-2.8104917352083105,-161.0293147838355
(2023 FX48),1.547,0.3706,8.14,357.56,203.77,0.974,2.12,31.39,,169.33999999999997,3.0057347517850226,172.2159156130839
(2023 FY48),2.123,0.539,39.68,357.26,199.72,0.979,3.27,28.17,,174.79000000000002,3.0824957128723636,176.61399471475647
