full_name,a,e,i,om,w,q,ad,H,diameter,ma,E_rad,E_deg
1566 Icarus (1949 MA),1.078,0.827,22.8,87.95,31.44,0.186,1.97,16.53,1000.0,-26.919999999999987,-1.2562733803279809,-71.9791626074266
1620 Geographos (1951 RA),1.246,0.3355,13.34,337.14,277.02,0.828,1.66,15.27,2560.0,32.91999999999999,0.8198207941133606,46.972271459759156
1685 Toro (1948 OA),1.368,0.436,9.38,274.21,127.28,0.771,1.96,14.28,3400.0,-97.32,-2.0793734918119355,-119.13932511220474
1862 Apollo (1932 HA),1.471,0.5599,6.35,35.54,286.05,0.647,2.29,16.08,1500.0,-66.12,-1.7086036212438447,-97.89577635804135
1863 Antinous (1948 EA),2.26,0.6063,18.38,345.55,269.07,0.89,3.63,15.46,2100.0,109.56,2.3454732431406966,134.38571779282347
1864 Daedalus (1971 FA),1.461,0.6144,22.22,6.6,325.66,0.563,2.36,14.84,3700.0,77.57,1.9292096099408298,110.53556844568936
1865 Cerberus (1971 UA),1.08,0.4669,16.1,212.88,325.29,0.576,1.58,16.79,1200.0,139.67000000000002,2.655730206246505,152.16213234333236
1866 Sisyphus (1972 XA),1.893,0.5381,41.21,63.45,293.1,0.875,2.91,12.48,8480.0,-39.34,-1.185202714317507,-67.90711339784258
1981 Midas (1973 EA),1.776,0.6505,39.82,356.79,267.84,0.621,2.93,15.25,3400.0,-114.65,-2.427200480722364,-139.068343577516
2062 Aten (1976 AA),0.967,0.1829,18.94,108.53,148.08,0.79,1.14,17.11,1100.0,-147.36,-2.657103951873714,-152.240842169896
2063 Bacchus (1977 HB),1.078,0.3494,9.43,33.04,55.35,0.701,1.45,17.21,1024.0,54.78999999999999,1.2921932219833285,74.03721793505622
2100 Ra-Shalom (1978 RA),0.832,0.4365,15.76,170.76,356.08,0.469,1.2,16.25,2300.0,69.11000000000001,1.6416032795847706,94.05693955504182
2101 Adonis (1936 CA),1.874,0.7641,1.32,349.41,43.71,0.442,3.31,18.69,600.0,-155.52,-2.8983616936900374,-166.06389255082823
2102 Tantalus (1975 YA),1.29,0.2994,64.01,94.35,61.5,0.904,1.68,16.0,1649.0,167.36,2.971626302239021,170.26164540836305
2135 Aristaeus (1977 HA),1.6,0.5031,23.07,191.11,290.98,0.795,2.4,18.05,,-142.82,-2.705286539405426,-155.0015010814828
2201 Oljato (1947 XC),2.179,0.7107,2.52,74.86,98.37,0.63,3.73,15.32,1800.0,-82.99,-2.071803265047045,-118.70558306861953
2212 Hephaistos (1978 SB),2.168,0.8347,11.2,26.57,210.46,0.358,3.98,13.5,5700.0,128.24,2.6397418158777164,151.24606505399322
2329 Orthos (1976 WA),2.411,0.6533,24.46,169.25,146.11,0.836,3.99,14.58,,-108.71,-2.3583181967007816,-135.12167941985788
2340 Hathor (1976 UA),0.8439,0.4499,5.86,211.28,40.12,0.464,1.22,20.43,300.0,21.97999999999999,0.6591693012880248,37.7676189483912
3103 Eger (1982 BB),1.404,0.3542,20.93,129.73,254.1,0.907,1.9,15.3,1500.0,1.1200000000000045,0.030266415229427444,1.7341378536366676
3200 Phaethon (1983 TB),1.271,0.8897,22.31,265.1,322.31,0.14,2.4,14.39,6250.0,-16.02000000000001,-1.0524150577362203,-60.29894110430229
3360 Syrinx (1981 VA),2.466,0.7474,21.07,242.24,63.71,0.623,4.31,16.04,1800.0,-28.78,-1.198506521855245,-68.6693654212093
3361 Orpheus (1982 HR),1.21,0.3232,2.65,188.44,302.65,0.819,1.6,19.56,300.0,140.55,2.615388858073781,149.85074335316756
3362 Khufu (1984 QA),0.9895,0.4685,9.92,152.4,55.09,0.526,1.45,18.52,700.0,-139.62,-2.6556414604086314,-152.1570475813729
3554 Amun (1986 EB),0.974,0.2806,23.36,358.6,359.41,0.701,1.25,15.91,3341.0,96.70999999999998,1.9487080014661597,111.65274398738438
3671 Dionysus (1984 KD),2.197,0.5438,13.53,82.02,204.43,1.002,3.39,16.49,1500.0,72.1,1.7892574220212918,102.51689874427802
3752 Camillo (1985 PA),1.414,0.3015,55.56,147.95,312.23,0.987,1.84,15.15,2306.0,63.34,1.4027441470179536,80.37131936080743
3753 Cruithne (1986 TO),0.9978,0.5149,19.8,126.19,43.88,0.484,1.51,15.44,2071.0,164.36,2.9610701591546733,169.6568229616937
3757 Anagolay (1982 XB),1.835,0.4459,3.87,74.93,17.24,1.017,2.65,19.01,500.0,-87.63,-1.9445487969347124,-111.41443912160078
3838 Epona (1986 WA),1.505,0.7027,29.2,235.46,49.73,0.447,2.56,15.63,,-100.65,-2.286810437004461,-131.02458658682303
4015 Wilson-Harrington (1979 VA),2.626,0.6309,2.8,266.72,95.52,0.969,4.28,16.19,4000.0,94.39999999999998,2.1689513929693076,124.27176078616219
4034 Vishnu (1986 PA),1.059,0.444,11.17,157.86,296.7,0.589,1.53,18.49,420.0,81.94999999999999,1.8563214800981207,106.35938622910055
4179 Toutatis (1989 AC),2.543,0.6247,0.45,125.37,277.86,0.954,4.13,15.29,5400.0,-103.11,-2.2755054590343686,-130.37685906164836
4183 Cuno (1959 LM),1.981,0.6362,6.67,294.35,237.02,0.721,3.24,14.16,3651.0,137.37,2.680577271094915,153.58576429243413
4197 Morpheus (1982 TA),2.295,0.7725,12.6,6.98,122.58,0.522,4.07,14.97,1800.0,-69.53,-1.9352802445457677,-110.88339018751834
4257 Ubasti (1987 QA),1.647,0.4684,40.72,169.14,278.96,0.876,2.42,15.98,,167.43,2.992008832536045,171.4294783701801
4341 Poseidon (1987 KF),1.834,0.6801,11.84,108.02,15.83,0.587,3.08,16.08,3177.0,22.69999999999999,0.9489962669202585,54.37348086820134
4450 Pan (1987 SY),1.442,0.5866,5.52,311.67,292.0,0.596,2.29,17.28,,-120.28999999999999,-2.466200765287876,-141.30289528292903
4486 Mithra (1987 SB),2.206,0.66,3.03,82.18,169.26,0.75,3.66,15.61,1849.0,96.29000000000002,2.2101969037984626,126.6349544805339
4544 Xanthus (1989 FB),1.042,0.2501,14.14,23.94,333.84,0.781,1.3,17.37,1300.0,-174.86,-3.0698181298764595,-175.88762271466433
4581 Asclepius (1989 FC),1.023,0.3569,4.92,180.2,255.39,0.658,1.39,20.74,,53.379999999999995,1.2728301522935115,72.927795763412
4660 Nereus (1982 DB),1.485,0.3588,1.45,313.11,159.54,0.952,2.02,18.75,330.0,-130.18,-2.489739464792509,-142.65156341977118
4769 Castalia (1989 PB),1.063,0.4832,8.89,325.5,121.45,0.549,1.58,17.4,1400.0,143.76999999999998,2.7109667169069698,155.3269512792064
4953 (1990 MU),1.621,0.6575,24.38,77.53,77.93,0.555,2.69,14.88,,-64.02,-1.762779981757097,-100.99985316482991
5011 Ptah (6743 P-L),1.636,0.5002,7.41,10.62,105.96,0.818,2.45,16.66,,-177.93,-3.117509544699456,-178.6201395030297
5131 (1990 BG),1.486,0.5689,36.45,110.33,135.88,0.641,2.33,14.83,,35.72,1.140463188846378,65.34372741092886
5143 Heracles (1991 VL),1.835,0.7712,8.98,309.1,228.21,0.42,3.25,14.06,4843.0,24.120000000000005,1.11263871054438,63.74950223707103
5189 (1990 UQ),1.552,0.4782,3.58,135.05,159.96,0.81,2.29,17.84,,-78.38,-1.8301910774880013,-104.86222444256309
5381 Sekhmet (1991 JY),0.9474,0.2964,48.97,58.53,37.43,0.667,1.23,16.72,935.0,86.62,1.8004240530410256,103.15669957308864
5496 (1973 NA),2.437,0.6342,68.02,101.02,117.92,0.891,3.98,16.15,,119.22000000000003,2.473608146869704,141.72730698481075
5590 (1990 VA),0.9863,0.2801,14.18,216.25,34.49,0.71,1.26,19.91,,-111.67,-2.178896946142491,-124.84159900790857
5604 (1992 FE),0.93,0.4065,4.7,311.94,82.77,0.552,1.31,17.38,550.0,169.64999999999998,3.0130570461250263,172.63545217511864
5645 (1990 SP),1.355,0.3873,13.51,45.7,48.28,0.83,1.88,17.23,1668.0,-125.45,-2.43960835958071,-139.7792626688088
5660 (1974 MA),1.786,0.762,38.14,302.11,127.06,0.425,3.15,15.38,,-16.680000000000007,-0.8769313000111755,-50.24446241356094
5693 (1993 EA),1.271,0.5851,5.06,96.98,258.98,0.527,2.01,16.78,,-61.59,-1.6578334823072438,-94.98686167168131
5731 Zeus (1988 VP4),2.265,0.6524,11.2,280.59,218.44,0.787,3.74,15.47,5231.0,101.87,2.2751256995699674,130.35510044710804
5786 Talos (1991 RC),1.082,0.8268,23.22,161.28,8.39,0.187,1.98,17.15,,88.08999999999997,2.2039823609942792,126.27888740625082
5828 (1991 AM),1.698,0.6949,30.18,125.34,152.87,0.518,2.88,15.96,1457.0,55.610000000000014,1.6625542856977154,95.25734378186638
6037 (1988 EG),1.272,0.4996,3.51,182.15,242.36,0.636,1.91,18.86,,-15.330000000000013,-0.5125737188896055,-29.368310781699478
6047 (1991 TB1),1.455,0.3521,23.47,6.06,103.82,0.942,1.97,17.84,,-72.85,-1.6230910197073853,-92.9962651948183
6053 (1993 BW3),2.147,0.5284,21.58,318.22,74.95,1.013,3.28,15.1,3720.0,27.370000000000005,0.8874528681407361,50.84730386124414
6063 Jason (1984 KB),2.22,0.7625,4.96,169.01,337.63,0.527,3.91,16.02,1400.0,39.06,1.4374572845556337,82.36023563537361
6239 Minos (1989 QF),1.151,0.4125,3.94,344.48,239.78,0.676,1.63,18.59,,3.780000000000001,0.112130349291341,6.424595769721577
6455 (1992 HE),2.24,0.5729,37.34,26.89,262.74,0.957,3.52,14.08,4626.0,167.70999999999998,3.0050653936274547,172.1775642156726
6489 Golevka (1991 JX),2.477,0.6188,2.26,208.71,69.53,0.944,4.01,19.22,530.0,72.41999999999999,1.857507496069263,106.42733993868211
6611 (1993 VW),1.696,0.4845,8.7,230.76,281.61,0.874,2.52,16.82,1408.0,-46.49000000000001,-1.2748391658798008,-73.04290376289084
7025 (1993 QA),1.476,0.315,12.61,146.59,323.48,1.011,1.94,18.08,498.0,54.620000000000005,1.2524737906942622,71.76146215753286
7092 Cadmus (1992 LC),2.545,0.6937,17.79,56.7,94.78,0.78,4.31,15.12,6319.0,-52.39,-1.6076080312104526,-92.10915529969446
7335 (1989 JA),1.773,0.4845,15.16,61.26,232.34,0.914,2.63,17.7,1800.0,-23.810000000000002,-0.7435087705242039,-42.59991458199772
7341 (1991 VK),1.842,0.5061,5.41,294.72,173.51,0.91,2.77,16.96,982.0,15.599999999999994,0.526663371285667,30.175588398800187
7350 (1993 VA),1.356,0.3912,7.26,133.04,336.71,0.826,1.89,17.16,1921.0,-106.56,-2.180529043725014,-124.93511131114066
7482 (1994 PC1),1.349,0.3294,33.47,117.85,47.49,0.904,1.79,16.58,1052.0,-41.74000000000001,-1.0069029075799207,-57.69128698378064
7753 (1988 XB),1.467,0.4816,3.12,73.39,280.06,0.761,2.17,18.01,,137.69,2.6362780846036538,151.04760787062196
7822 (1991 CS),1.123,0.1646,37.12,156.84,249.46,0.938,1.31,17.34,1602.0,-26.24000000000001,-0.5430283269653127,-31.11323129116252
7888 (1993 UC),2.439,0.6632,26.08,165.87,323.04,0.821,4.06,15.19,2298.0,-52.349999999999994,-1.5768676403990887,-90.34786064562057
7889 (1994 LX),1.262,0.3463,36.91,111.26,349.2,0.825,1.7,15.24,1680.0,75.30000000000001,1.659181179663821,95.0640790422741
8014 (1990 MF),1.748,0.456,1.87,209.82,114.77,0.951,2.54,18.88,700.0,-77.86,-1.8027059067065012,-103.28744015758684
8035 (1992 TB),1.342,0.4624,28.31,185.61,6.11,0.721,1.96,17.12,,87.31,1.9528997772819223,111.89291505029257
8176 (1991 WA),1.575,0.6432,39.59,66.5,241.89,0.562,2.59,17.01,,-79.7,-1.9808943838342103,-113.49688785486798
8201 (1994 AH2),2.54,0.7061,9.54,164.08,25.11,0.746,4.33,15.94,1859.0,117.02999999999997,2.477667047533524,141.9598648623105
8507 (1991 CB1),1.687,0.5948,14.6,317.36,345.84,0.684,2.69,17.21,,9.189999999999998,0.3822757198165781,21.902785355815496
8566 (1996 EN),1.506,0.4304,37.98,164.09,125.16,0.858,2.15,16.47,1568.0,123.33999999999997,2.4328332193235656,139.39107572646526
9058 (1992 JB),1.557,0.3597,16.09,218.28,307.12,0.997,2.12,17.81,,-52.22,-1.2531120192205045,-71.79802995845141
9162 Kwiila (1987 OA),1.497,0.5955,9.01,179.98,235.85,0.605,2.39,18.01,1127.0,112.60000000000002,2.3773297599003627,136.2109617531401
9202 (1993 PB),1.424,0.6078,40.8,315.89,212.36,0.558,2.29,16.1,1617.0,-82.89,-1.9995006314074166,-114.56294731338824
9856 (1991 EE),2.243,0.6258,9.83,168.1,116.2,0.839,3.65,17.11,1000.0,-108.0,-2.336215127821169,-133.85526685876914
10115 (1992 SK),1.249,0.3249,15.32,8.87,233.74,0.843,1.65,17.1,938.0,-172.92,-3.04829257749885,-174.65429941173952
10145 (1994 CK1),1.9,0.6326,4.55,328.37,27.44,0.698,3.1,17.0,,-41.08000000000001,-1.3315650752628037,-76.29305895957847
10165 (1995 BL2),1.235,0.5039,23.9,312.42,348.47,0.613,1.86,17.36,829.0,-160.91,-2.9194356610768994,-167.27134193969175
10563 Izhdubar (1993 WD),1.007,0.2662,63.47,56.56,132.19,0.739,1.27,16.94,,-42.93000000000001,-0.9686512635633268,-55.499629222192965
10636 (1998 QK56),1.885,0.5128,13.57,172.92,286.34,0.918,2.85,17.7,533.0,-28.389999999999986,-0.8958686851890639,-51.32949465926757
11066 Sigurd (1992 CC1),1.392,0.3754,36.88,349.22,22.02,0.869,1.91,15.17,2104.0,135.32999999999998,2.566225354598811,147.03388209797498
11311 Peleus (1993 XN2),2.116,0.5358,25.49,59.32,313.43,0.982,3.25,15.74,,-25.419999999999987,-0.8441083709302215,-48.36384710596508
11405 (1999 CV3),1.46,0.3938,22.86,141.22,96.45,0.885,2.03,15.22,3621.0,-162.57999999999998,-2.9229669057911187,-167.4736673582444
11500 Tomaiyowit (1989 UR),1.08,0.3558,10.31,234.38,289.52,0.696,1.46,18.36,738.0,134.93,2.552621677377978,146.25444880736302
11885 Summanus (1990 SS),1.703,0.4745,19.43,359.76,116.23,0.895,2.51,18.52,1298.0,56.650000000000006,1.4603372255378246,83.67115968916158
12538 (1998 OH),1.542,0.4059,24.54,220.69,321.79,0.916,2.17,15.96,1663.0,-16.99000000000001,-0.48619404828869717,-27.85686699132208
12711 Tukmit (1991 BB),1.186,0.2721,38.49,294.96,322.89,0.864,1.51,16.04,,56.400000000000006,1.2418791430629703,71.15443356283157
12923 Zephyr (1999 GK4),1.962,0.4927,5.31,168.08,147.21,0.995,2.93,15.8,2060.0,14.879999999999995,0.49279768232283727,28.23522735092726
13651 (1997 BR),1.336,0.3057,17.25,116.63,133.85,0.927,1.74,17.89,562.0,-21.919999999999987,-0.5396578137127607,-30.920115106998395
14827 Hypnos (1986 JK),2.851,0.6643,1.97,57.73,238.64,0.957,4.74,18.81,900.0,-76.6,-1.9532321115715918,-111.91195640247814
16816 (1997 UF9),1.443,0.6037,25.92,37.14,158.0,0.572,2.31,16.23,,143.06,2.7353991911005315,156.72682893355977
16834 (1997 WU22),1.468,0.4422,16.0,260.75,334.4,0.819,2.12,15.75,1870.0,-70.86,-1.6764734372244658,-96.05485241875225
16960 (1998 QS52),2.2,0.8591,17.52,260.15,243.25,0.31,4.09,14.32,,-110.55,-2.466423929432243,-141.3156816465399
17181 (1999 UM3),2.37,0.674,10.65,113.56,36.77,0.773,3.97,16.77,,-156.01,-2.8904103909162324,-165.60831646025855
17182 (1999 VU),1.387,0.5534,9.27,333.48,203.22,0.619,2.15,17.14,2885.0,87.06,2.018372942165908,115.6442510695091
17188 (1999 WC2),2.216,0.6367,29.45,269.76,287.22,0.805,3.63,16.4,1819.0,112.04000000000002,2.390141758520588,136.94503520120645
17511 (1992 QN),1.19,0.3587,9.58,355.88,202.43,0.763,1.62,17.32,,134.74,2.5513081297142395,146.1791880700415
20236 (1998 BZ7),2.033,0.561,6.51,111.23,104.56,0.893,3.17,17.7,,-1.2700000000000102,-0.05046393432407163,-2.891370454394689
20425 (1998 VD35),1.565,0.4766,6.99,227.24,296.32,0.819,2.31,20.51,,54.129999999999995,1.415620041730834,81.10905378531027
20429 (1998 YN1),1.556,0.4641,6.3,61.73,147.7,0.834,2.28,17.73,,65.55000000000001,1.6078448508753669,92.12272406699975
20826 (2000 UV13),2.418,0.6365,31.93,347.29,198.69,0.879,3.96,13.85,3687.0,18.24000000000001,0.7541315746493594,43.20855642496326
22099 (2000 EX106),1.104,0.2763,9.85,136.43,186.57,0.799,1.41,18.09,524.0,119.82,2.2977124417304995,131.6492254458567
22753 (1998 WT),1.219,0.57,3.21,307.35,324.82,0.524,1.91,17.68,,-81.7,-1.9544885976051,-111.98394774921529
22771 (1999 CU3),1.576,0.5242,11.4,338.9,305.84,0.75,2.4,16.96,,-83.79,-1.9494740545703597,-111.69663559713794
23187 (2000 PN9),1.847,0.5894,51.34,164.28,293.54,0.758,2.94,16.06,,144.54000000000002,2.748478511290227,157.4762187793296
24443 (2000 OG),2.31,0.8224,25.74,178.07,231.24,0.41,4.21,16.42,,-120.36,-2.555533208065435,-146.4212672276771
24445 (2000 PM8),2.211,0.5458,23.77,203.15,219.11,1.004,3.42,14.71,,59.33000000000001,1.5812738867217007,90.60031996340126
24761 Ahau (1993 BW2),1.335,0.3058,21.92,121.04,287.55,0.927,1.74,17.37,,-38.360000000000014,-0.9111551943919283,-52.20534712007958
25143 Itokawa (1998 SF36),1.324,0.2802,1.62,69.08,162.85,0.953,1.7,19.26,330.0,-138.74,-2.572468122633967,-147.3915663588686
25330 (1999 KV4),1.541,0.3709,14.33,50.51,86.1,0.969,2.11,16.74,3210.0,155.29000000000002,2.8255872296067537,161.8942229025297
26379 (1999 HZ1),1.606,0.5763,8.68,252.1,200.61,0.68,2.53,18.2,,-106.45,-2.2910660999678125,-131.2684181136532
26663 (2000 XK47),1.546,0.4718,13.53,303.58,231.21,0.817,2.28,18.17,,133.91000000000003,2.5860141706223194,148.16769773768283
27002 (1998 DV9),1.744,0.4335,8.7,130.33,0.82,0.988,2.5,18.31,,-165.16,-2.9606129256451847,-169.6306254113481
29075 (1950 DA),1.699,0.5075,12.15,356.54,224.83,0.837,2.56,17.28,1300.0,-138.68,-2.6568898883789602,-152.2285772350988
30825 (1990 TG1),2.436,0.6809,8.74,205.02,33.67,0.777,4.1,14.72,,-35.81999999999999,-1.276877089100279,-73.15966816239596
30997 (1995 UO5),1.56,0.6431,36.25,38.62,151.16,0.557,2.56,17.27,,-131.36,-2.6155658335855723,-149.86088330307032
31662 (1999 HP11),1.598,0.5479,18.82,13.94,312.02,0.722,2.47,19.54,,174.16000000000003,3.075727083629757,176.2261808260663
31669 (1999 JT6),2.137,0.5778,9.54,78.76,39.11,0.902,3.37,16.09,,43.53,1.3193757901461514,75.59466436711267
33342 (1998 WT24),0.7187,0.4177,7.37,81.66,167.52,0.419,1.02,18.02,432.0,134.57,2.5734428513994625,147.4474142033015
35107 (1991 VH),1.137,0.1437,13.92,139.31,207.03,0.973,1.3,16.87,929.0,-114.36,-2.118628820249507,-121.38848975507749
35396 (1997 XF11),1.442,0.4838,4.1,213.63,103.07,0.745,2.14,17.01,704.0,-40.28,-1.1432747560592198,-65.50481834604203
35670 (1998 SU27),2.122,0.5964,7.14,271.33,169.87,0.857,3.39,19.57,,77.88999999999999,1.9198683701583894,110.00035483073577
36236 (1999 VV),1.332,0.4239,58.04,241.07,19.8,0.768,1.9,15.95,,-83.18,-1.858269449325944,-106.47099664447619
36284 (2000 DM8),1.484,0.5539,46.78,323.14,317.98,0.662,2.31,15.04,,166.39,2.988513254864118,171.2291965226185
37638 (1993 VB),1.913,0.52,5.08,145.56,323.22,0.918,2.91,19.28,,-154.43,-2.846528569714865,-163.09407330807247
37655 Illapa (1994 PM),1.478,0.7524,18.03,139.51,303.92,0.366,2.59,17.85,,-65.55,-1.8642899611607497,-106.81594656311913
38086 Beowulf (1999 JB),1.42,0.5662,23.67,165.31,178.96,0.616,2.22,17.35,643.0,9.780000000000001,0.3814933592667421,21.857959398252348
38239 (1999 OR3),2.036,0.5757,9.4,199.75,28.57,0.864,3.21,18.33,,-135.22,-2.6379021469036292,-151.14065978607684
40267 (1999 GJ4),1.339,0.8084,34.48,148.2,211.95,0.257,2.42,15.54,1641.0,111.0,2.4517771131146473,140.47648088823837
41429 (2000 GE2),1.593,0.5556,2.17,351.79,297.37,0.708,2.48,20.66,204.0,58.870000000000005,1.583033729500091,90.70115152720962
42286 (2001 TN41),1.419,0.3915,24.08,55.82,150.95,0.864,1.98,16.63,,161.8,2.9127534034622116,166.88847678075098
52340 (1992 SY),2.211,0.5479,8.08,5.23,116.37,1.0,3.42,18.09,,158.82,2.901968926732006,166.27057177985319
52750 (1998 KK17),1.427,0.5249,11.17,141.31,334.16,0.678,2.18,16.67,1059.0,-81.77,-1.9203184259813735,-110.02614112993807
52760 (1998 ML14),2.409,0.6236,2.43,338.65,20.36,0.907,3.91,17.52,1000.0,-87.45,-2.072915976396567,-118.76933673276348
52762 (1998 MT24),2.416,0.6532,33.87,308.95,254.51,0.838,3.99,14.81,6742.0,-45.80000000000001,-1.4476110314936734,-82.94200248116718
52768 (1998 OR2),2.379,0.5757,5.88,26.93,174.57,1.01,3.75,16.02,1750.0,8.659999999999997,0.346844099803906,19.872703067778104
53319 (1999 JM8),2.724,0.6415,13.84,133.63,166.79,0.976,4.47,15.35,7000.0,136.52999999999997,2.672757919378005,153.13774844052682
53409 (1999 LU7),2.101,0.6281,10.88,206.69,147.75,0.781,3.42,18.73,,34.18000000000001,1.1764441319889665,67.40528359589933
53426 (1999 SL5),1.922,0.5397,22.77,239.04,43.42,0.885,2.96,17.19,,135.76,2.6325005204775236,150.8311693893546
53429 (1999 TF5),2.022,0.6411,26.78,199.16,64.09,0.726,3.32,18.9,,-121.28,-2.5002747029007595,-143.25518809953934
53550 (2000 BF19),1.495,0.4197,7.18,313.11,325.05,0.868,2.12,19.06,,102.74000000000001,2.145441295595759,122.92473143071629
53789 (2000 ED104),1.371,0.2692,40.78,190.02,218.36,1.002,1.74,17.35,843.0,-57.41,-1.2581429154736548,-72.0862790809251
54509 YORP (2000 PH5),1.006,0.23,1.6,278.19,279.0,0.775,1.24,22.66,,-49.84,-1.0718299567633287,-61.41133287822825
55408 (2001 TC2),1.1,0.2246,30.39,193.82,353.55,0.853,1.35,18.87,461.0,8.25,0.18539019364002188,10.622075658686327
55532 (2001 WG2),1.795,0.6952,38.54,81.41,132.37,0.547,3.04,16.13,1306.0,118.33999999999997,2.4880862247458486,142.55683974257556
65679 (1989 UQ),0.9148,0.2645,1.3,178.05,15.0,0.673,1.16,19.61,918.0,106.52999999999997,2.0890646642988298,119.69458839423709
65690 (1991 DG),1.428,0.3633,11.14,180.08,63.41,0.909,1.95,19.06,,-96.63,-2.0146146749897818,-115.42891822203454
65717 (1993 BX3),1.395,0.281,2.81,174.75,290.98,1.003,1.79,20.87,,163.76999999999998,2.9200666422928254,167.30749450031635
65733 (1993 PC),1.154,0.4744,4.14,336.86,168.74,0.607,1.7,18.37,,13.849999999999994,0.44663875977247136,25.59051590192007
65803 Didymos (1996 GT),1.643,0.3832,3.41,72.98,319.59,1.013,2.27,18.11,780.0,-12.780000000000001,-0.35695015545803205,-20.451737404283875
65909 (1998 FH12),1.091,0.5397,3.56,108.59,284.51,0.502,1.68,19.3,,2.8600000000000136,0.10819586048873443,6.1991661667907465
66008 (1998 QH2),1.426,0.3627,61.01,168.92,14.0,0.909,1.94,15.93,1484.0,-38.25999999999999,-0.966159351290208,-55.35685316602641
66063 (1998 RO1),0.991,0.72,22.69,351.84,151.17,0.277,1.7,18.15,,-73.68,-1.9537936538116056,-111.94413040284925
66146 (1998 TU3),0.7875,0.4837,5.42,101.88,84.99,0.407,1.17,14.36,2864.0,-105.23,-2.2214765077190695,-127.28122817976393
66253 (1999 GT3),1.334,0.8378,19.5,157.32,261.15,0.216,2.45,18.4,,-40.74000000000001,-1.548641534974452,-88.73062393269757
66391 Moshup (1999 KW4),0.6424,0.6884,38.88,244.9,192.65,0.2,1.08,16.64,1317.0,162.60000000000002,2.961328334968529,169.67161534620004
66400 (1999 LT7),0.8554,0.5725,9.06,79.79,341.42,0.366,1.35,19.27,411.0,-154.38,-2.855824126268111,-163.62666946679866
67381 (2000 OL8),1.321,0.5429,10.67,294.83,266.94,0.604,2.04,19.8,,117.85000000000002,2.416801770576934,138.47254137380298
67399 (2000 PJ6),1.301,0.3461,14.69,332.84,225.34,0.851,1.75,18.41,,-68.12,-1.5347940090055336,-87.93721913798075
68216 (2001 CV26),1.32,0.3267,17.99,18.13,48.76,0.889,1.75,16.57,994.0,21.77000000000001,0.5509979632603746,31.569857815123868
68267 (2001 EA16),1.51,0.4273,38.82,8.0,317.42,0.865,2.15,16.99,875.0,-164.2,-2.9480260888526217,-168.90945278571425
68346 (2001 KZ66),1.507,0.4165,16.7,219.37,140.28,0.88,2.14,16.92,736.0,166.82,2.9789859070412597,170.6833197024156
68347 (2001 KB67),0.9617,0.3799,17.13,245.85,243.82,0.596,1.33,19.92,,-129.54,-2.4909915731342274,-142.72330394324476
68348 (2001 LO7),2.155,0.8409,25.36,236.23,181.67,0.343,3.97,14.27,3512.0,-2.6200000000000045,-0.27011652986891177,-15.476537138208073
68372 (2001 PM9),1.618,0.4156,8.11,252.96,322.34,0.946,2.29,18.95,,169.45,3.0114111589728783,172.54114978774572
68548 (2001 XR31),1.707,0.4367,22.71,302.02,24.7,0.962,2.45,16.56,1182.0,-176.72,-3.101743412438385,-177.71680666522528
68950 (2002 QF15),1.057,0.3443,25.15,236.2,255.57,0.693,1.42,16.39,1650.0,-122.65,-2.3785902050498096,-136.28317994051116
69230 Hermes (1937 UB),1.655,0.6239,6.07,34.05,92.91,0.622,2.69,17.68,,-75.44,-1.90587735708998,-109.19872883080356
85182 (1991 AQ),2.22,0.7776,3.12,339.38,243.25,0.494,3.95,17.13,1100.0,-1.5,-0.11678793657511732,-6.691455863795767
85236 (1993 KH),1.234,0.3111,12.81,54.36,293.83,0.85,1.62,18.75,,0.28999999999999204,0.007347124789012553,0.4209592419663579
85585 Mjolnir (1998 FG2),1.298,0.3563,4.08,2.3,95.45,0.835,1.76,21.64,,124.23000000000002,2.4070356259421044,137.9129825041129
85640 (1998 OX4),1.58,0.4857,4.52,299.56,117.32,0.813,2.35,21.14,,33.71000000000001,0.9959999755857838,57.06659499619843
85713 (1998 SS49),1.923,0.6388,10.79,40.95,103.13,0.695,3.15,15.77,3484.0,-152.61,-2.8482551841722468,-163.19300102932672
85770 (1998 UP1),0.9976,0.3452,33.18,18.32,234.23,0.653,1.34,20.72,,-27.30000000000001,-0.6984490864907678,-40.01818486068879
85774 (1998 UT18),1.403,0.3289,13.59,64.62,50.16,0.941,1.86,19.09,939.0,-124.07,-2.3900032110432243,-136.93709701549133
85818 (1998 XM4),1.657,0.416,62.72,235.64,301.22,0.967,2.35,15.42,2028.0,-48.599999999999994,-1.241937161989315,-71.15775780244299
85938 (1999 DJ4),1.852,0.4845,9.14,19.87,197.78,0.955,2.75,18.73,,18.349999999999994,0.589706770111928,33.78770907770496
85953 (1999 FK21),0.7389,0.703,12.6,180.43,172.43,0.219,1.26,18.09,590.0,78.98000000000002,2.01364568333238,115.37339908968204
85989 (1999 JD6),0.8831,0.6329,17.07,130.14,309.26,0.324,1.44,17.07,1462.0,-86.5,-2.066446429870017,-118.39865902142863
85990 (1999 JV6),1.009,0.3115,5.36,124.2,235.71,0.695,1.32,20.27,451.0,161.16000000000003,2.890245483538125,165.5988679634824
86039 (1999 NC43),1.76,0.5789,7.13,311.62,120.82,0.741,2.78,15.95,2220.0,-153.79,-2.8503620974381114,-163.3137182672609
